image_id,image_path,source_image_path,plant_part,disease_class,source_split,coverage_bin_proxy,width,height,source_key
fruit_0001,data/severity_calibration/fruit/images/fruit_0001__IMG20240615121943_jpg.rf.a281f33047bdaf2b8e64df3a95e26f09.jpg,data/processed/fruit_disease_detection_yolov8/test/images/IMG20240615121943_jpg.rf.a281f33047bdaf2b8e64df3a95e26f09.jpg,fruit,Anthracnose,test,0,640,640,IMG20240615121943_jpg
fruit_0002,data/severity_calibration/fruit/images/fruit_0002__Kamatis_original_images-8-jpg_df983030-6fb5-48f5-8a30-297194dfeac8_jpg.rf.5b2b714358534403f8bbae8b988eada0.jpg,data/processed/fruit_disease_detection_yolov8/test/images/Kamatis_original_images-8-jpg_df983030-6fb5-48f5-8a30-297194dfeac8_jpg.rf.5b2b714358534403f8bbae8b988eada0.jpg,fruit,Anthracnose,test,1,640,640,Kamatis_original_images-8-jpg_df983030-6fb5-48f5-8a30-297194dfeac8_jpg
fruit_0003,data/severity_calibration/fruit/images/fruit_0003__anthracnose_26_jpeg.rf.599f76d53d562e36b375529bae9943c5.jpg,data/processed/fruit_disease_detection_yolov8/test/images/anthracnose_26_jpeg.rf.599f76d53d562e36b375529bae9943c5.jpg,fruit,Anthracnose,test,3,640,640,anthracnose_26_jpeg
fruit_0004,data/severity_calibration/fruit/images/fruit_0004__main-qimg-323e7c38580591f6d1ee021e716af796_jpg.rf.cd23c4974a8564ec3c990afad656aa07.jpg,data/processed/fruit_disease_detection_yolov8/test/images/main-qimg-323e7c38580591f6d1ee021e716af796_jpg.rf.cd23c4974a8564ec3c990afad656aa07.jpg,fruit,Anthracnose,test,2,640,640,main-qimg-323e7c38580591f6d1ee021e716af796_jpg
fruit_0005,data/severity_calibration/fruit/images/fruit_0005__00000019_jpg.rf.3c6783a59c341f74ec8f44f9cf9709e2.jpg,data/processed/fruit_disease_detection_yolov8/train/images/00000019_jpg.rf.3c6783a59c341f74ec8f44f9cf9709e2.jpg,fruit,Anthracnose,train,2,640,640,00000019_jpg
fruit_0006,data/severity_calibration/fruit/images/fruit_0006__00000193_jpg.rf.14e962c220142d4ca91ed7fa6593cbcd.jpg,data/processed/fruit_disease_detection_yolov8/train/images/00000193_jpg.rf.14e962c220142d4ca91ed7fa6593cbcd.jpg,fruit,Anthracnose,train,3,640,640,00000193_jpg
fruit_0007,data/severity_calibration/fruit/images/fruit_0007__1-6_thumb_png.rf.30269af4fb62dafd422ced7601471b82.jpg,data/processed/fruit_disease_detection_yolov8/train/images/1-6_thumb_png.rf.30269af4fb62dafd422ced7601471b82.jpg,fruit,Anthracnose,train,1,640,640,1-6_thumb_png
fruit_0008,data/severity_calibration/fruit/images/fruit_0008__1000_F_492853670_BFNynUVvXauJuSZAY14r1BZCHQbafR0x_jpg.rf.02e3dba8b009d5907ecf092693b23c9d.jpg,data/processed/fruit_disease_detection_yolov8/train/images/1000_F_492853670_BFNynUVvXauJuSZAY14r1BZCHQbafR0x_jpg.rf.02e3dba8b009d5907ecf092693b23c9d.jpg,fruit,Anthracnose,train,0,640,640,1000_F_492853670_BFNynUVvXauJuSZAY14r1BZCHQbafR0x_jpg
fruit_0009,data/severity_calibration/fruit/images/fruit_0009__13_jpg.rf.9c8d7f3aa69e60dfa5cc2a7812f47fc7.jpg,data/processed/fruit_disease_detection_yolov8/train/images/13_jpg.rf.9c8d7f3aa69e60dfa5cc2a7812f47fc7.jpg,fruit,Anthracnose,train,2,640,640,13_jpg
fruit_0010,data/severity_calibration/fruit/images/fruit_0010__18_jpg.rf.612445f960964432b4c1c794d6d681a0.jpg,data/processed/fruit_disease_detection_yolov8/train/images/18_jpg.rf.612445f960964432b4c1c794d6d681a0.jpg,fruit,Anthracnose,train,2,640,640,18_jpg
