image_id,image_path,plant_part,disease_class,relevant_area_pixels,affected_area_pixels,affected_area_percentage,width,height,segmentation_ok
fruit_0001,data/severity_calibration/fruit/images/fruit_0001__IMG20240615121943_jpg.rf.a281f33047bdaf2b8e64df3a95e26f09.jpg,fruit,Anthracnose,76470,73114,95.6114,640,640,True
fruit_0002,data/severity_calibration/fruit/images/fruit_0002__Kamatis_original_images-8-jpg_df983030-6fb5-48f5-8a30-297194dfeac8_jpg.rf.5b2b714358534403f8bbae8b988eada0.jpg,fruit,Anthracnose,350426,268388,76.5891,640,640,True
fruit_0003,data/severity_calibration/fruit/images/fruit_0003__anthracnose_26_jpeg.rf.599f76d53d562e36b375529bae9943c5.jpg,fruit,Anthracnose,400836,99133,24.7316,640,640,True
fruit_0004,data/severity_calibration/fruit/images/fruit_0004__main-qimg-323e7c38580591f6d1ee021e716af796_jpg.rf.cd23c4974a8564ec3c990afad656aa07.jpg,fruit,Anthracnose,253419,128666,50.772,640,640,True
fruit_0005,data/severity_calibration/fruit/images/fruit_0005__00000019_jpg.rf.3c6783a59c341f74ec8f44f9cf9709e2.jpg,fruit,Anthracnose,231110,49513,21.424,640,640,True
fruit_0006,data/severity_calibration/fruit/images/fruit_0006__00000193_jpg.rf.14e962c220142d4ca91ed7fa6593cbcd.jpg,fruit,Anthracnose,400821,202689,50.5685,640,640,True
fruit_0007,data/severity_calibration/fruit/images/fruit_0007__1-6_thumb_png.rf.30269af4fb62dafd422ced7601471b82.jpg,fruit,Anthracnose,404309,144700,35.7895,640,640,True
fruit_0008,data/severity_calibration/fruit/images/fruit_0008__1000_F_492853670_BFNynUVvXauJuSZAY14r1BZCHQbafR0x_jpg.rf.02e3dba8b009d5907ecf092693b23c9d.jpg,fruit,Anthracnose,373631,151841,40.6393,640,640,True
fruit_0009,data/severity_calibration/fruit/images/fruit_0009__13_jpg.rf.9c8d7f3aa69e60dfa5cc2a7812f47fc7.jpg,fruit,Anthracnose,387606,154362,39.8245,640,640,True
fruit_0010,data/severity_calibration/fruit/images/fruit_0010__18_jpg.rf.612445f960964432b4c1c794d6d681a0.jpg,fruit,Anthracnose,0,0,,640,640,False
fruit_0011,data/severity_calibration/fruit/images/fruit_0011__1_jpg.rf.0c74692486417b7780d5b4415c367f98.jpg,fruit,Anthracnose,226137,153226,67.758,640,640,True
fruit_0012,data/severity_calibration/fruit/images/fruit_0012__2-6_thumb_png.rf.4ccbd8967e7d03619cd8ca27b345d61a.jpg,fruit,Anthracnose,337049,177911,52.7849,640,640,True
fruit_0013,data/severity_calibration/fruit/images/fruit_0013__29_jpg.rf.785b1f801edf4ce0295d202272292f18.jpg,fruit,Anthracnose,184997,75589,40.8596,640,640,True
fruit_0014,data/severity_calibration/fruit/images/fruit_0014__32_jpg.rf.2c62ee3fbae6b91e156448f6c5ed6799.jpg,fruit,Anthracnose,367117,207692,56.5738,640,640,True
fruit_0015,data/severity_calibration/fruit/images/fruit_0015__392-spoiled-rotten-red-tomato-isolated-on-white-background-PPFY5P_jpg.rf.651ba868ec133ac07e9adcc785798f8e.jpg,fruit,Anthracnose,0,0,,640,640,False
fruit_0016,data/severity_calibration/fruit/images/fruit_0016__40_jpg.rf.7e3e06e714fce9c2464bbde7f63352a4.jpg,fruit,Anthracnose,251276,126584,50.3765,640,640,True
fruit_0017,data/severity_calibration/fruit/images/fruit_0017__44_jpg.rf.0d3ccb4fc85bcd1fc758b3b439c575e3.jpg,fruit,Anthracnose,294693,84903,28.8107,640,640,True
fruit_0018,data/severity_calibration/fruit/images/fruit_0018__4_jpg.rf.b516deb0124c0a886c33524129a2e72a.jpg,fruit,Anthracnose,244609,63662,26.026,640,640,True
fruit_0019,data/severity_calibration/fruit/images/fruit_0019__Anthracnose-symptoms-on-tomato-fruit-a-sunken-necrotic-lesion-with-orange-conidial_W640_jpg.rf.41ee448147c3cf54199f6621f3db5f23.jpg,fruit,Anthracnose,321095,250649,78.0607,640,640,True
fruit_0020,data/severity_calibration/fruit/images/fruit_0020__FS547-1_jpg.rf.88f45022c48e95a49c52f2ca8f00cc1d.jpg,fruit,Anthracnose,383524,124024,32.338,640,640,True
fruit_0021,data/severity_calibration/fruit/images/fruit_0021__IMG20240615121344_jpg.rf.202810e538fff2cfafcd18e02e0b640a.jpg,fruit,Anthracnose,30938,30511,98.6198,640,640,True
fruit_0022,data/severity_calibration/fruit/images/fruit_0022__IMG20240615121403_jpg.rf.5d28c57ac2cf6203da27d22867674a52.jpg,fruit,Anthracnose,50818,49972,98.3352,640,640,True
fruit_0023,data/severity_calibration/fruit/images/fruit_0023__IMG20240615121634_jpg.rf.387a92630332b3e7ffb81459f1627e49.jpg,fruit,Anthracnose,84286,83122,98.619,640,640,True
fruit_0024,data/severity_calibration/fruit/images/fruit_0024__IMG20240615121643_jpg.rf.928087e2b98ff592b9fd584f4219e0a8.jpg,fruit,Anthracnose,52069,50567,97.1154,640,640,True
fruit_0025,data/severity_calibration/fruit/images/fruit_0025__IMG20240615121816_jpg.rf.78333fd99d84760ddf8835a0738fbe3a.jpg,fruit,Anthracnose,85260,84678,99.3174,640,640,True
fruit_0026,data/severity_calibration/fruit/images/fruit_0026__IMG20240615121836_jpg.rf.42703bc5553c8c336b89ba8de22bc98a.jpg,fruit,Anthracnose,87583,86581,98.8559,640,640,True
fruit_0027,data/severity_calibration/fruit/images/fruit_0027__IMG20240615121937_jpg.rf.39550416f91e5fa4c9c0618bd5c483ab.jpg,fruit,Anthracnose,113377,107550,94.8605,640,640,True
fruit_0028,data/severity_calibration/fruit/images/fruit_0028__IMG20240615122350_jpg.rf.0c19ad9b326345b7ae510d91028ceeaa.jpg,fruit,Anthracnose,37744,37511,99.3827,640,640,True
fruit_0029,data/severity_calibration/fruit/images/fruit_0029__Image_15_jpg.rf.11eba7f02a277b8e463edea8ddfb5d99.jpg,fruit,Anthracnose,379024,172893,45.6153,640,640,True
fruit_0030,data/severity_calibration/fruit/images/fruit_0030__Tomato-anthracnose-1050-jw-400x284_jpg.rf.4166820b532b984cd2409ac6f3707ccd.jpg,fruit,Anthracnose,356315,94574,26.5422,640,640,True
fruit_0031,data/severity_calibration/fruit/images/fruit_0031__anthracnose-of-tomato-2_jpg.rf.36d56f91907a0049f32baa309b12cd1f.jpg,fruit,Anthracnose,382998,311719,81.3892,640,640,True
fruit_0032,data/severity_calibration/fruit/images/fruit_0032__anthracnose-tomato-1583845437_jpg.rf.2a2a4b515e00529890b8186b848f60b3.jpg,fruit,Anthracnose,349521,159630,45.6711,640,640,True
fruit_0033,data/severity_calibration/fruit/images/fruit_0033__anthracnose1_600px_jpg.rf.2f3a1d918978d5699f732d6f64ffb3dd.jpg,fruit,Anthracnose,193962,115900,59.754,640,640,True
fruit_0034,data/severity_calibration/fruit/images/fruit_0034__anthracnose_27_jpeg.rf.77fb06c1e8d67a9607652721d5ed9d89.jpg,fruit,Anthracnose,49010,17874,36.4701,640,640,True
fruit_0035,data/severity_calibration/fruit/images/fruit_0035__anthracnose_36_jpeg.rf.6a885e19245fd0bf884479ec72869408.jpg,fruit,Anthracnose,369574,221882,60.0372,640,640,True
fruit_0036,data/severity_calibration/fruit/images/fruit_0036__anthracnose_tomato2x1200_jpg.rf.5be1bbd9c7225d805642d5f2ef4baa9c.jpg,fruit,Anthracnose,285001,154674,54.2714,640,640,True
fruit_0037,data/severity_calibration/fruit/images/fruit_0037__anthracnose_tomato3x1200_jpg.rf.2cb9d40630939aed3564f997e47db520.jpg,fruit,Anthracnose,309546,157590,50.91,640,640,True
fruit_0038,data/severity_calibration/fruit/images/fruit_0038__black-mold-tomato_webp.rf.8e9786303835b02812ecd70434436ec1.jpg,fruit,Anthracnose,354603,210520,59.3678,640,640,True
fruit_0039,data/severity_calibration/fruit/images/fruit_0039__download_jpg.rf.2203ee28778b0cb182da97144b5c7480.jpg,fruit,Anthracnose,379812,152899,40.2565,640,640,True
fruit_0040,data/severity_calibration/fruit/images/fruit_0040__f6Pit3S5dahxrrhJ2nVjua-1280-80-jpg_webp.rf.18d018a0a86982ca51c12a43db8c8403.jpg,fruit,Anthracnose,0,0,,640,640,False
fruit_0041,data/severity_calibration/fruit/images/fruit_0041__farmer-inspects-spoiled-tomatoes-spots_jpeg.rf.7ca29d760e4ae4722d45d5ce7ac27719.jpg,fruit,Anthracnose,0,0,,640,640,False
fruit_0042,data/severity_calibration/fruit/images/fruit_0042__featured-pic_jpg.rf.2757f6bec7d26df9131f53c16b2fc88a.jpg,fruit,Anthracnose,408009,240006,58.8237,640,640,True
fruit_0043,data/severity_calibration/fruit/images/fruit_0043__fpls-14-1200999-g001_webp.rf.1b7dbb858c16af00af2c65ed284e8371.jpg,fruit,Anthracnose,0,0,,640,640,False
fruit_0044,data/severity_calibration/fruit/images/fruit_0044__images-14-_jpeg.rf.0f03cefecb1a8cf79931a033ef83d768.jpg,fruit,Anthracnose,332133,188635,56.795,640,640,True
fruit_0045,data/severity_calibration/fruit/images/fruit_0045__images-15-_jpeg.rf.12eae2d12da20f2bac4fba947032ebea.jpg,fruit,Anthracnose,351047,214418,61.0796,640,640,True
fruit_0046,data/severity_calibration/fruit/images/fruit_0046__images-17-_jpeg.rf.30f26b5669b9f0f8d9dd7623578b4e79.jpg,fruit,Anthracnose,387606,154362,39.8245,640,640,True
fruit_0047,data/severity_calibration/fruit/images/fruit_0047__images-3-_jpeg.rf.3ef4612dffb62559d184d2e1fcba670b.jpg,fruit,Anthracnose,311111,207591,66.7257,640,640,True
fruit_0048,data/severity_calibration/fruit/images/fruit_0048__rottenTomato-195-_jpg.rf.a0be0106c7207a43ccb67d2a43cb397d.jpg,fruit,Anthracnose,241179,71532,29.6593,640,640,True
fruit_0049,data/severity_calibration/fruit/images/fruit_0049__rottenTomato-259-_jpg.rf.627802d0e058425e0ae7f508b0fdf970.jpg,fruit,Anthracnose,210359,51691,24.5728,640,640,True
fruit_0050,data/severity_calibration/fruit/images/fruit_0050__tomato-anthracnose-colletotrichum-coccodes-fungal-260nw-1829895563-1-_webp.rf.44dd13848abc48fa81a7468911da8121.jpg,fruit,Anthracnose,249136,104131,41.7968,640,640,True
fruit_0051,data/severity_calibration/fruit/images/fruit_0051__tomato-anthracnose1x640-1osy35o_jpg.rf.04eab774d623439996e13cfa260d93a5.jpg,fruit,Anthracnose,291108,84230,28.9343,640,640,True
