image_id,image_path,source_image_path,plant_part,disease_class,source_split,coverage_bin_proxy,width,height,source_key
leaf_0001,data/severity_calibration/leaf/images/leaf_0001__30053_original_jpg.rf.0bd1afd1192102f6a49b2acc1ce59b7e.jpg,data/processed/disease_detection_yolov8/test/images/30053_original_jpg.rf.0bd1afd1192102f6a49b2acc1ce59b7e.jpg,leaf,Early Blight,test,3,512,512,30053_original_jpg
leaf_0002,data/severity_calibration/leaf/images/leaf_0002__Early-Blight-764-_JPG.rf.5793216461d9d786dc75ffd5afb6365b.jpg,data/processed/disease_detection_yolov8/test/images/Early-Blight-764-_JPG.rf.5793216461d9d786dc75ffd5afb6365b.jpg,leaf,Early Blight,test,1,512,512,Early-Blight-764-_JPG
leaf_0003,data/severity_calibration/leaf/images/leaf_0003__IMG20221006163237_jpg.rf.ba4245b0cd513ed661bb7f1bc1feea94.jpg,data/processed/disease_detection_yolov8/test/images/IMG20221006163237_jpg.rf.ba4245b0cd513ed661bb7f1bc1feea94.jpg,leaf,Early Blight,test,0,512,512,IMG20221006163237_jpg
leaf_0004,data/severity_calibration/leaf/images/leaf_0004__IMG_20221001_091637_jpg.rf.035dc56147433bb53df95a3d4c07882b.jpg,data/processed/disease_detection_yolov8/test/images/IMG_20221001_091637_jpg.rf.035dc56147433bb53df95a3d4c07882b.jpg,leaf,Early Blight,test,1,512,512,IMG_20221001_091637_jpg
leaf_0005,data/severity_calibration/leaf/images/leaf_0005__brown-spot-with-concentric-rings-leaf_jpg.rf.d0dbadf9e4bc21ed999333b49fdf7913.jpg,data/processed/disease_detection_yolov8/test/images/brown-spot-with-concentric-rings-leaf_jpg.rf.d0dbadf9e4bc21ed999333b49fdf7913.jpg,leaf,Early Blight,test,0,512,512,brown-spot-with-concentric-rings-leaf_jpg
leaf_0006,data/severity_calibration/leaf/images/leaf_0006__DSC03630_JPG.rf.4d4b6a0b1a3809f2793344411e987e78.jpg,data/processed/disease_detection_yolov8/train/images/DSC03630_JPG.rf.4d4b6a0b1a3809f2793344411e987e78.jpg,leaf,Early Blight,train,0,512,512,DSC03630_JPG
leaf_0007,data/severity_calibration/leaf/images/leaf_0007__DSC03632_JPG.rf.44703ba4140cc6088c4b847c384b8087.jpg,data/processed/disease_detection_yolov8/train/images/DSC03632_JPG.rf.44703ba4140cc6088c4b847c384b8087.jpg,leaf,Early Blight,train,0,512,512,DSC03632_JPG
leaf_0008,data/severity_calibration/leaf/images/leaf_0008__EB-20lesions1_opt_jpeg_jpg.rf.3b698335bdb54e9d232663d95a854734.jpg,data/processed/disease_detection_yolov8/train/images/EB-20lesions1_opt_jpeg_jpg.rf.3b698335bdb54e9d232663d95a854734.jpg,leaf,Early Blight,train,1,512,512,EB-20lesions1_opt_jpeg_jpg
leaf_0009,data/severity_calibration/leaf/images/leaf_0009__Early-Blight-109-_JPG.rf.3b3dfd2273031a9a03649a50b526b4d5.jpg,data/processed/disease_detection_yolov8/train/images/Early-Blight-109-_JPG.rf.3b3dfd2273031a9a03649a50b526b4d5.jpg,leaf,Early Blight,train,1,512,512,Early-Blight-109-_JPG
leaf_0010,data/severity_calibration/leaf/images/leaf_0010__Early-Blight-124-_JPG.rf.29d5c2ac2a13a7cdaf6b4f87eb4b8917.jpg,data/processed/disease_detection_yolov8/train/images/Early-Blight-124-_JPG.rf.29d5c2ac2a13a7cdaf6b4f87eb4b8917.jpg,leaf,Early Blight,train,2,512,512,Early-Blight-124-_JPG
leaf_0011,data/severity_calibration/leaf/images/leaf_0011__Early-Blight-141-_JPG.rf.3be394f2013514d62fb7f8b4c0d6761d.jpg,data/processed/disease_detection_yolov8/train/images/Early-Blight-141-_JPG.rf.3be394f2013514d62fb7f8b4c0d6761d.jpg,leaf,Early Blight,train,2,512,512,Early-Blight-141-_JPG
