image_id,image_path,plant_part,disease_class,relevant_area_pixels,affected_area_pixels,affected_area_percentage,width,height,segmentation_ok
leaf_0001,data/severity_calibration/leaf/images/leaf_0001__30053_original_jpg.rf.0bd1afd1192102f6a49b2acc1ce59b7e.jpg,leaf,Early Blight,242465,89879,37.0689,512,512,True
leaf_0002,data/severity_calibration/leaf/images/leaf_0002__Early-Blight-764-_JPG.rf.5793216461d9d786dc75ffd5afb6365b.jpg,leaf,Early Blight,91972,50527,54.9374,512,512,True
leaf_0003,data/severity_calibration/leaf/images/leaf_0003__IMG20221006163237_jpg.rf.ba4245b0cd513ed661bb7f1bc1feea94.jpg,leaf,Early Blight,258047,55571,21.5352,512,512,True
leaf_0004,data/severity_calibration/leaf/images/leaf_0004__IMG_20221001_091637_jpg.rf.035dc56147433bb53df95a3d4c07882b.jpg,leaf,Early Blight,261901,107441,41.0235,512,512,True
leaf_0005,data/severity_calibration/leaf/images/leaf_0005__brown-spot-with-concentric-rings-leaf_jpg.rf.d0dbadf9e4bc21ed999333b49fdf7913.jpg,leaf,Early Blight,258786,86655,33.4852,512,512,True
leaf_0006,data/severity_calibration/leaf/images/leaf_0006__DSC03630_JPG.rf.4d4b6a0b1a3809f2793344411e987e78.jpg,leaf,Early Blight,133420,91218,68.3691,512,512,True
leaf_0007,data/severity_calibration/leaf/images/leaf_0007__DSC03632_JPG.rf.44703ba4140cc6088c4b847c384b8087.jpg,leaf,Early Blight,138261,80303,58.0807,512,512,True
leaf_0008,data/severity_calibration/leaf/images/leaf_0008__EB-20lesions1_opt_jpeg_jpg.rf.3b698335bdb54e9d232663d95a854734.jpg,leaf,Early Blight,236234,61119,25.8722,512,512,True
leaf_0009,data/severity_calibration/leaf/images/leaf_0009__Early-Blight-109-_JPG.rf.3b3dfd2273031a9a03649a50b526b4d5.jpg,leaf,Early Blight,105320,59076,56.0919,512,512,True
leaf_0010,data/severity_calibration/leaf/images/leaf_0010__Early-Blight-124-_JPG.rf.29d5c2ac2a13a7cdaf6b4f87eb4b8917.jpg,leaf,Early Blight,169470,79686,47.0207,512,512,True
leaf_0011,data/severity_calibration/leaf/images/leaf_0011__Early-Blight-141-_JPG.rf.3be394f2013514d62fb7f8b4c0d6761d.jpg,leaf,Early Blight,142186,48997,34.4598,512,512,True
leaf_0012,data/severity_calibration/leaf/images/leaf_0012__Early-Blight-196-_JPG.rf.1281473ec62bcb8899c13da293f3cdaf.jpg,leaf,Early Blight,107600,18413,17.1125,512,512,True
leaf_0013,data/severity_calibration/leaf/images/leaf_0013__Early-Blight-203-_JPG.rf.61494b684630dd23ecbc9d4d02fe0e40.jpg,leaf,Early Blight,140666,60176,42.7793,512,512,True
leaf_0014,data/severity_calibration/leaf/images/leaf_0014__Early-Blight-221-_JPG.rf.01a3ecb5a320f5bc09d2c901207b440d.jpg,leaf,Early Blight,119512,51075,42.7363,512,512,True
leaf_0015,data/severity_calibration/leaf/images/leaf_0015__Early-Blight-229-_JPG.rf.15d5f9d54a0b6177daf552bdd288e74f.jpg,leaf,Early Blight,140526,62692,44.6124,512,512,True
leaf_0016,data/severity_calibration/leaf/images/leaf_0016__Early-Blight-25-_JPG.rf.2b555119a92975649a4859f22c5f92a8.jpg,leaf,Early Blight,104419,78804,75.469,512,512,True
leaf_0017,data/severity_calibration/leaf/images/leaf_0017__Early-Blight-263-_JPG.rf.aaa88201b648e4e366aaf62de034934a.jpg,leaf,Early Blight,123349,51298,41.5877,512,512,True
leaf_0018,data/severity_calibration/leaf/images/leaf_0018__Early-Blight-29-_JPG.rf.aa83348dbbd9daaefff5b99b9cb4997a.jpg,leaf,Early Blight,138177,64997,47.0389,512,512,True
leaf_0019,data/severity_calibration/leaf/images/leaf_0019__Early-Blight-324-_JPG.rf.52d8ae81ff763d03f7ef9a250936e84b.jpg,leaf,Early Blight,101654,68777,67.6579,512,512,True
leaf_0020,data/severity_calibration/leaf/images/leaf_0020__Early-Blight-338-_JPG.rf.4cc9c26ea76a5852b2d3eebce6f4f71b.jpg,leaf,Early Blight,117912,35758,30.326,512,512,True
leaf_0021,data/severity_calibration/leaf/images/leaf_0021__Early-Blight-368-_JPG.rf.4906336b004c376df8dfa0c19d5e58e5.jpg,leaf,Early Blight,110641,88189,79.7073,512,512,True
leaf_0022,data/severity_calibration/leaf/images/leaf_0022__Early-Blight-383-_JPG.rf.a74976b979d5e89b9a4ad64f26ddd1cb.jpg,leaf,Early Blight,154509,38540,24.9435,512,512,True
leaf_0023,data/severity_calibration/leaf/images/leaf_0023__Early-Blight-408-_JPG.rf.a5359100b45b0de2413e6a7d547ea21a.jpg,leaf,Early Blight,155890,101854,65.3371,512,512,True
leaf_0024,data/severity_calibration/leaf/images/leaf_0024__Early-Blight-411-_JPG.rf.0067880aea87680abf579acf4b1761df.jpg,leaf,Early Blight,107412,61320,57.0886,512,512,True
leaf_0025,data/severity_calibration/leaf/images/leaf_0025__Early-Blight-473-_JPG.rf.4dd053a90c3675142f5fc1ab97f34220.jpg,leaf,Early Blight,111626,74745,66.9602,512,512,True
leaf_0026,data/severity_calibration/leaf/images/leaf_0026__Early-Blight-476-_JPG.rf.642d28e43c9256352e7eb2434209474b.jpg,leaf,Early Blight,158368,48265,30.4765,512,512,True
leaf_0027,data/severity_calibration/leaf/images/leaf_0027__Early-Blight-493-_JPG.rf.45466010e2197a38f5f892aa21db0b70.jpg,leaf,Early Blight,160245,96394,60.1541,512,512,True
leaf_0028,data/severity_calibration/leaf/images/leaf_0028__Early-Blight-5-_JPG.rf.6cc87da00d566e5ece71942f8ae65974.jpg,leaf,Early Blight,114777,85688,74.6561,512,512,True
leaf_0029,data/severity_calibration/leaf/images/leaf_0029__Early-Blight-501-_JPG.rf.18b93c00e53dbb6d9999f582b52a0b4f.jpg,leaf,Early Blight,144978,95088,65.5879,512,512,True
leaf_0030,data/severity_calibration/leaf/images/leaf_0030__Early-Blight-503-_JPG.rf.11b506ed649086feb3fa349f66d1172d.jpg,leaf,Early Blight,97326,40999,42.1254,512,512,True
leaf_0031,data/severity_calibration/leaf/images/leaf_0031__Early-Blight-514-_JPG.rf.95be796b13f322ab77893b3a7c262f4e.jpg,leaf,Early Blight,98409,40234,40.8845,512,512,True
leaf_0032,data/severity_calibration/leaf/images/leaf_0032__Early-Blight-55-_JPG.rf.2581ad1d24ec4ae2ab849ee720270118.jpg,leaf,Early Blight,122397,48169,39.3547,512,512,True
leaf_0033,data/severity_calibration/leaf/images/leaf_0033__Early-Blight-565-_JPG.rf.31bddfd9f77e5ceaebc173c7cb88c68c.jpg,leaf,Early Blight,119996,84827,70.6915,512,512,True
leaf_0034,data/severity_calibration/leaf/images/leaf_0034__Early-Blight-605-_JPG.rf.0f46e449871fff7c6713c702766cc1b0.jpg,leaf,Early Blight,123413,77320,62.6514,512,512,True
leaf_0035,data/severity_calibration/leaf/images/leaf_0035__Early-Blight-635-_JPG.rf.35819881f4dad941c0392a15d9b8219f.jpg,leaf,Early Blight,128577,96931,75.3875,512,512,True
leaf_0036,data/severity_calibration/leaf/images/leaf_0036__Early-Blight-648-_JPG.rf.2701b413906f1057091f74183785b003.jpg,leaf,Early Blight,107989,48252,44.6823,512,512,True
leaf_0037,data/severity_calibration/leaf/images/leaf_0037__Early-Blight-667-_JPG.rf.8047d9a181074cadf146681440762103.jpg,leaf,Early Blight,86354,59786,69.2336,512,512,True
leaf_0038,data/severity_calibration/leaf/images/leaf_0038__Early-Blight-721-_JPG.rf.5322d10baba6eec8806aa82915bff75d.jpg,leaf,Early Blight,98090,42010,42.828,512,512,True
leaf_0039,data/severity_calibration/leaf/images/leaf_0039__Early-Blight-727-_JPG.rf.723fa4f854b8f77da2c014cc3796fc53.jpg,leaf,Early Blight,115840,81470,70.3298,512,512,True
leaf_0040,data/severity_calibration/leaf/images/leaf_0040__Early-Blight-729-_JPG.rf.052b9d22b6e156803a2e7ce6b037083c.jpg,leaf,Early Blight,139077,128598,92.4653,512,512,True
leaf_0041,data/severity_calibration/leaf/images/leaf_0041__Early-Blight-741-_JPG.rf.27c264522e145e08173e36b76a3bce73.jpg,leaf,Early Blight,141724,99496,70.2041,512,512,True
leaf_0042,data/severity_calibration/leaf/images/leaf_0042__Early-Blight-749-_JPG.rf.c50b86a0593510a832e3b6cd1c250c60.jpg,leaf,Early Blight,111235,62221,55.9365,512,512,True
leaf_0043,data/severity_calibration/leaf/images/leaf_0043__Early-Blight-772-_JPG.rf.4dd9bb63ef739666377d615597ab7238.jpg,leaf,Early Blight,171804,34280,19.953,512,512,True
leaf_0044,data/severity_calibration/leaf/images/leaf_0044__Early-Blight-83-_JPG.rf.4839d0346c8134a92ddf18d194986271.jpg,leaf,Early Blight,121574,41941,34.4983,512,512,True
leaf_0045,data/severity_calibration/leaf/images/leaf_0045__Early-Blight-919-_JPG.rf.4f79b162e5d7903d2c8de4cff5fece6d.jpg,leaf,Early Blight,89722,87896,97.9648,512,512,True
leaf_0046,data/severity_calibration/leaf/images/leaf_0046__Early-bligh_t_jpg.rf.24fb0f4ba87cfb0dfbe972b972775c26.jpg,leaf,Early Blight,168975,123245,72.9368,512,512,True
leaf_0047,data/severity_calibration/leaf/images/leaf_0047__IMG20221006151341_jpg.rf.5411d52cd41ce8d2056a06cd45c0648e.jpg,leaf,Early Blight,218099,159472,73.1191,512,512,True
leaf_0048,data/severity_calibration/leaf/images/leaf_0048__IMG20221006160824_jpg.rf.298af53ec2b5c6d513a5b9d4c4b02981.jpg,leaf,Early Blight,233989,81405,34.7901,512,512,True
leaf_0049,data/severity_calibration/leaf/images/leaf_0049__IMG20221006161431_jpg.rf.46314d912d53155d25a371b25c341832.jpg,leaf,Early Blight,227313,137187,60.3516,512,512,True
leaf_0050,data/severity_calibration/leaf/images/leaf_0050__IMG20221006163348_jpg.rf.260773e251bce594e40f8ea3d4a4a686.jpg,leaf,Early Blight,241693,80787,33.4255,512,512,True
leaf_0051,data/severity_calibration/leaf/images/leaf_0051__IMG_20220928_165113_jpg.rf.2403219f183c786ab849a7d9afa4571d.jpg,leaf,Early Blight,183394,175571,95.7343,512,512,True
leaf_0052,data/severity_calibration/leaf/images/leaf_0052__IMG_20220928_165635_jpg.rf.793bbc9b73f4e44d7409cf3834a19eab.jpg,leaf,Early Blight,170022,157583,92.6839,512,512,True
leaf_0053,data/severity_calibration/leaf/images/leaf_0053__IMG_20221001_085531_jpg.rf.20f208730769d4c4af59f2c285780ce5.jpg,leaf,Early Blight,237537,195619,82.3531,512,512,True
leaf_0054,data/severity_calibration/leaf/images/leaf_0054__IMG_20221001_090923_jpg.rf.5019ad0e33de3be1f66149747714ad77.jpg,leaf,Early Blight,231429,162436,70.1883,512,512,True
leaf_0055,data/severity_calibration/leaf/images/leaf_0055__Potato-Blight-on-Leaves_jpg.rf.02ead0bebe609258a8ba9e8c46829966.jpg,leaf,Early Blight,223816,152653,68.2047,512,512,True
leaf_0056,data/severity_calibration/leaf/images/leaf_0056__a_solani_jpg.rf.06abf93e009f63b2e3f1371c053cad31.jpg,leaf,Early Blight,161927,54421,33.6084,512,512,True
leaf_0057,data/severity_calibration/leaf/images/leaf_0057__backus-045-potato-blight_jpg.rf.103b39ac3d69f2e38a30f68796558822.jpg,leaf,Early Blight,227053,121312,53.4289,512,512,True
leaf_0058,data/severity_calibration/leaf/images/leaf_0058__blog_early_blight_628_jpg.rf.78b9f8d21c0c7c4821fb5cb21e2975ce.jpg,leaf,Early Blight,223825,127583,57.0012,512,512,True
leaf_0059,data/severity_calibration/leaf/images/leaf_0059__comparing-diseases-4-canker-tomato-1y51ejs_jpg.rf.0662a03b578c49f55572e1bedbcf14d7.jpg,leaf,Early Blight,210142,78472,37.3424,512,512,True
leaf_0060,data/severity_calibration/leaf/images/leaf_0060__fi000294_jpg.rf.a29de20f3e32951db10041d77d718f06.jpg,leaf,Early Blight,250244,115342,46.0918,512,512,True
leaf_0061,data/severity_calibration/leaf/images/leaf_0061__home-design_jpg.rf.34e8aa5c9b95a9ef0fdc17919ec94c7d.jpg,leaf,Early Blight,218081,31844,14.6019,512,512,True
leaf_0062,data/severity_calibration/leaf/images/leaf_0062__maxresdefault_jpg.rf.32b8488e6cd760aec3729096298fdbed.jpg,leaf,Early Blight,172487,139418,80.8281,512,512,True
leaf_0063,data/severity_calibration/leaf/images/leaf_0063__potato-blight-damage-on-leaves-caused-by-fungus-phytophthora-picture-id505322893_jpg.rf.5d224d8b2c8e6a4116b293fee0a3c768.jpg,leaf,Early Blight,231897,41082,17.7156,512,512,True
leaf_0064,data/severity_calibration/leaf/images/leaf_0064__tomato_D2b-Early-blight-RPitblado_zoom_jpg.rf.3d74b1d3e70fcf5af52c2b62419c0006.jpg,leaf,Early Blight,238356,225189,94.4759,512,512,True
leaf_0065,data/severity_calibration/leaf/images/leaf_0065__Early-Blight-526-_JPG.rf.59be70bc69e1530baea73bcff16634d8.jpg,leaf,Early Blight,135740,73757,54.337,512,512,True
leaf_0066,data/severity_calibration/leaf/images/leaf_0066__Early-Blight-731-_JPG.rf.e743363867b8697783ac815a61e51e57.jpg,leaf,Early Blight,132012,111777,84.6718,512,512,True
leaf_0067,data/severity_calibration/leaf/images/leaf_0067__Early-Blight-85-_JPG.rf.3be0e86dc40b11198f7d3a37c4447fb6.jpg,leaf,Early Blight,107609,83568,77.6589,512,512,True
leaf_0068,data/severity_calibration/leaf/images/leaf_0068__Early-Blight-909-_JPG.rf.deb1b9636442a78c61bab47492faf8d8.jpg,leaf,Early Blight,136906,52342,38.2321,512,512,True
leaf_0069,data/severity_calibration/leaf/images/leaf_0069__Early-Blight-923-_JPG.rf.0ccb39dd4a91176714f0a042dec40efe.jpg,leaf,Early Blight,120401,46652,38.7472,512,512,True
leaf_0070,data/severity_calibration/leaf/images/leaf_0070__IMG20221006154546_jpg.rf.d786ac39531d328f9649e1a60f281f62.jpg,leaf,Early Blight,259649,221273,85.22,512,512,True
leaf_0071,data/severity_calibration/leaf/images/leaf_0071__MPC105550_jpg_rendition_largest_ss_jpg.rf.c0895bb71fa36ac4028326ffda886bfa.jpg,leaf,Early Blight,245128,175316,71.5202,512,512,True
leaf_0072,data/severity_calibration/leaf/images/leaf_0072__potato-early-blight-alternaria-alternata-discreet-lesions-on-a-potato-BY651F_jpg_rf_eb0896a66be2c6acf481fb42731f0b23-3sZ0Ci7Ha-transformed_jpeg.rf.f8c8d96f230ff13a9f5c4def0bc37b13.jpg,leaf,Early Blight,208247,27997,13.4441,512,512,True
leaf_0073,data/severity_calibration/leaf/images/leaf_0073__636368370164094909-late-blight-15-_jpg.rf.f3cc1a0a2aa8ae0ea9c456bb03e65273.jpg,leaf,Late Blight,256101,117937,46.051,512,512,True
leaf_0074,data/severity_calibration/leaf/images/leaf_0074__70_jpg.rf.13a9d577d2f7d156fad77bfaf7fa6c9f.jpg,leaf,Late Blight,229529,146741,63.9314,512,512,True
leaf_0075,data/severity_calibration/leaf/images/leaf_0075__Late-Blight-149-_JPG.rf.03553519ecc467a2e4a320cbaf6d5356.jpg,leaf,Late Blight,99063,22629,22.843,512,512,True
leaf_0076,data/severity_calibration/leaf/images/leaf_0076__Late-Blight-313-_JPG.rf.aed9142cdacbebbcc91db0176ca9ef05.jpg,leaf,Late Blight,96051,94580,98.4685,512,512,True
leaf_0077,data/severity_calibration/leaf/images/leaf_0077__FS547-6-big_jpg.rf.53e32988842e7596b50556fc151c038e.jpg,leaf,Late Blight,142986,140719,98.4145,512,512,True
leaf_0078,data/severity_calibration/leaf/images/leaf_0078__Late-Blight-1001-_JPG.rf.c4ea25dfe50a66672e2ab0a6285cfad4.jpg,leaf,Late Blight,133961,53354,39.828,512,512,True
leaf_0079,data/severity_calibration/leaf/images/leaf_0079__Late-Blight-1016-_JPG.rf.159cd6137358275e33459e0e10e16acb.jpg,leaf,Late Blight,40509,13964,34.4714,512,512,True
leaf_0080,data/severity_calibration/leaf/images/leaf_0080__Late-Blight-1046-_JPG.rf.6410fb8e3dcb00328ca63c6228c6190b.jpg,leaf,Late Blight,61968,25268,40.7759,512,512,True
